Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate ,Target,Model Year,Manufacture,Model
1.0,0.0,1.0,0.0,325000.0,2.68,0.0,0.0,4.0,140.93,2.0,32.09,2.0,45.0,0.0,2,8250.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,175000.0,1.9,1.0,1.0,3.0,290.29,0.0,24.66,4.0,45.0,1.0,3,16860.0,0.0,2016,12,8
1.0,1.0,0.0,0.0,225000.0,2.89,1.0,1.0,4.0,83.56,1.0,5.35,4.0,55.0,0.0,4,6000.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,225000.0,1.46,1.0,1.0,4.0,251.74,0.0,27.63,3.0,45.0,0.0,3,10600.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,50000.0,-1.76,1.0,0.0,4.0,346.59,0.0,4.5,3.0,55.0,0.0,3,10920.0,0.0,2016,12,8
0.0,1.0,0.0,0.0,125000.0,2.75,0.0,1.0,4.0,98.51,5.0,13.39,4.0,45.0,0.0,2,11272.727272727272,0.0,2014,5,15
0.0,0.0,0.0,0.0,125000.0,1.53,0.0,0.0,3.0,104.78,24.0,13.96,1.0,45.0,0.0,1,14000.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,175000.0,1.79,1.0,1.0,4.0,70.36,1.0,15.32,2.0,35.0,0.0,2,10838.709677419356,0.0,2015,5,15
0.0,0.0,1.0,0.0,75000.0,1.73,1.0,1.0,4.0,203.66,0.0,15.01,4.0,35.0,0.0,3,9840.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,75000.0,2.63,1.0,1.0,4.0,120.28,0.0,15.03,3.0,45.0,1.0,2,12631.57894736842,0.0,2015,5,15
0.0,0.0,1.0,0.0,375000.0,2.7,1.0,1.0,4.0,714.56,2.0,62.63,2.0,55.0,0.0,2,7500.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,75000.0,1.54,1.0,1.0,2.0,410.51,220.0,1.49,4.0,75.0,0.0,5,75000.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,75000.0,2.88,1.0,0.0,4.0,281.1,1.0,8.22,2.0,25.0,0.0,2,15000.0,0.0,2017,4,3
0.0,0.0,0.0,0.0,125000.0,1.0,1.0,1.0,4.0,409.57,2.0,4.82,4.0,45.0,0.0,3,7368.0,0.0,2017,4,3
0.0,0.0,0.0,0.0,225000.0,2.53,1.0,1.0,4.0,111.94,0.0,24.38,4.0,55.0,0.0,3,11760.0,0.0,2017,4,3
1.0,0.0,1.0,0.0,125000.0,2.87,1.0,1.0,3.0,118.69,2.0,12.97,1.0,65.0,0.0,1,12588.0,0.0,2017,4,3
0.0,0.0,0.0,0.0,225000.0,1.42,1.0,1.0,2.0,88.21,2.0,12.95,4.0,55.0,0.0,3,13845.6,0.0,2017,4,3
1.0,0.0,1.0,0.0,225000.0,2.59,1.0,0.0,3.0,67.99,2.0,26.23,4.0,65.0,0.0,3,18285.714285714286,0.0,2015,5,15
0.0,0.0,0.0,0.0,125000.0,2.76,1.0,1.0,3.0,81.5,1.0,3.32,1.0,55.0,1.0,1,5616.0,0.0,2017,4,3
1.0,0.0,1.0,0.0,175000.0,1.5,0.0,0.0,3.0,377.72,0.0,23.41,2.0,65.0,0.0,2,13580.0,0.0,2017,12,8
