,Month Submitted,Year Submitted,lastpage. Last page,Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate,"FCV, BEV Dummy",Model Year,Manufacturer,Model
5121,5,2015,43.0,0,0,0,0,375000.0,2,1,1,4,1012.23,6,41.27,2,65,0,2,28320,1.0,2013,Tesla,Model S
5124,5,2015,43.0,0,0,1,0,75000.0,2,1,1,2,474.44,0,17.57,2,55,0,4,10133,1.0,2015,Nissan,Leaf
5139,5,2015,43.0,0,0,1,0,175000.0,2,0,1,4,391.6,0,5.93,3,45,0,2,6420,1.0,2014,BMW,i3
5152,5,2015,43.0,0,0,1,0,175000.0,0,1,1,4,749.89,0,30.44,3,45,0,2,11428,1.0,2011,Nissan,Leaf
5156,5,2015,43.0,0,0,1,0,125000.0,2,0,1,2,272.03,0,20.03,5,65,0,3,9734,1.0,2013,Nissan,Leaf
5163,5,2015,43.0,1,0,1,0,125000.0,2,1,1,4,480.5,0,4.9,2,55,0,2,4854,1.0,2013,Nissan,Leaf
5164,5,2015,43.0,0,0,0,0,325000.0,0,1,1,4,78.89,1,23.35,4,55,0,2,19636,1.0,2015,BMW,i3
5172,5,2015,43.0,0,0,0,0,225000.0,1,1,1,4,346.01,0,36.46,4,45,0,3,14181,1.0,2014,BMW,i3
5173,5,2015,43.0,0,1,0,0,125000.0,0,1,1,2,98.42,0,37.57,4,55,0,4,18875,1.0,2014,Ford,Focus
5181,5,2015,43.0,0,0,1,0,125000.0,1,1,1,3,438.73,0,30.16,4,45,0,2,14431,1.0,2014,Nissan,Leaf
5183,5,2015,43.0,0,0,1,0,325000.0,2,1,1,3,116.83,1,28.23,4,45,0,3,9600,1.0,2012,Toyota,RAV4 EV
