 Index ,submitdate. Date submitted,Month/Year Submitted, Month Submitted ,  Year Submitted  , lastpage. Last page , Previous PHEVs , Previous BEVs , Previous HEVs , Previous CNGs , Household Income ," Importance of reducing greenhouse gas emissions (03 not important, 3 important) ", Home ownership (own 1) , Home Type (detached 1) , Highest Level of Education , Longest trip in the last 12 months , Number of trips over 200 miles in the last 12 months , One0way commute distance , Number of people in the household , Age , Gender (Male 1) , Number of vehicles in the household , Annual VMT Estimate  ," FCV, BEV Dummy ", Model Year , Manufacture , Model 
264,6/22/2017,6/1/2017,6,2017,42,0,0,1,0,175000,3,1,0,4,201,0,17,4,45,0,2,7400,0,2017, Toyota , Mirai 
265,6/22/2017,6/1/2017,6,2017,42,0,0,1,1,125000,0,1,1,4,675,1,14,4,55,0,4,18075,0,2016, Toyota , Mirai 
267,6/22/2017,6/1/2017,6,2017,42,0,1,0,0,125000,2,1,1,4,326,0,15,4,55,0,2,10200,0,2016, Toyota , Mirai 
269,6/22/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,1,4,333,0,12,2,65,0,2,2880,0,2017, Toyota , Mirai 
272,6/22/2017,6/1/2017,6,2017,42,0,0,1,0,275000,2,1,1,2,222,0,18,3,55,0,3,11223,0,2017, Toyota , Mirai 
274,6/22/2017,6/1/2017,6,2017,42,0,0,0,0,125000,3,0,0,2,370,9,6,2,55,0,2,12750,0,2016, Toyota , Mirai 
285,6/22/2017,6/1/2017,6,2017,42,1,1,0,0,125000,3,1,1,4,147,0,51,4,45,0,2,21600,0,2017, Toyota , Mirai 
287,6/22/2017,6/1/2017,6,2017,42,1,0,1,0,175000,3,0,1,4,139,4,8,2,55,0,2,8842,0,2016, Toyota , Mirai 
292,6/22/2017,6/1/2017,6,2017,42,0,0,0,0,175000,3,0,1,2,97,5,9,6,45,0,5,17850,0,2016, Toyota , Mirai 
295,6/22/2017,6/1/2017,6,2017,42,0,0,0,0,225000,3,1,1,3,1061,5,12,4,45,0,3,15429,0,2016, Toyota , Mirai 
296,6/22/2017,6/1/2017,6,2017,42,0,0,0,0,275000,3,1,1,4,464,55,42,4,55,0,4,23082,0,2017, Toyota , Mirai 
298,6/22/2017,6/1/2017,6,2017,42,1,0,0,0,125000,3,1,1,4,156,0,35,4,45,0,4,11368,0,2016, Toyota , Mirai 
304,6/23/2017,6/1/2017,6,2017,42,0,0,1,0,75000,2,0,0,3,495,1,10,1,65,0,1,9689,0,2016, Toyota , Mirai 
306,6/23/2017,6/1/2017,6,2017,42,0,0,1,0,175000,2,1,1,2,675,12,32,2,45,0,2,21818,0,2016, Toyota , Mirai 
309,6/23/2017,6/1/2017,6,2017,42,0,1,0,0,125000,3,1,1,3,29,1,25,6,55,0,5,12240,0,2016, Toyota , Mirai 
311,6/23/2017,6/1/2017,6,2017,42,0,0,0,0,175000,3,1,1,4,1043,25,5,1,55,0,2,12400,0,2017, Toyota , Mirai 
312,6/23/2017,6/1/2017,6,2017,42,0,1,0,0,500000,3,1,1,4,251,2,12,4,65,0,3,9854,0,2016, Toyota , Mirai 
314,6/23/2017,6/1/2017,6,2017,42,1,0,0,0,75000,3,1,1,3,128,20,2,4,55,0,2,14118,0,2016, Toyota , Mirai 
316,6/25/2017,6/1/2017,6,2017,42,1,0,0,0,125000,3,1,1,4,83,1,13,3,45,0,2,13760,0,2017, Toyota , Mirai 
319,6/23/2017,6/1/2017,6,2017,42,0,1,0,0,125000,3,1,1,3,426,0,30,3,55,0,3,15922,0,2016, Toyota , Mirai 
321,6/23/2017,6/1/2017,6,2017,42,0,0,1,0,75000,3,1,1,3,283,0,1,4,35,0,2,8400,0,2017, Toyota , Mirai 
322,6/23/2017,6/1/2017,6,2017,42,0,1,0,0,425000,3,1,1,4,472,0,0,4,45,0,3,15592,0,2017, Toyota , Mirai 
324,6/23/2017,6/1/2017,6,2017,42,0,1,0,0,75000,3,1,1,4,76,0,0,3,45,1,2,15600,0,2017, Toyota , Mirai 
325,6/23/2017,6/1/2017,6,2017,42,1,1,0,0,125000,2,1,1,3,280,0,18,6,55,1,5,13200,0,2016, Toyota , Mirai 
328,6/23/2017,6/1/2017,6,2017,42,0,0,1,0,225000,0,1,1,4,794,3,3,4,65,0,3,9047,0,2017, Toyota , Mirai 
330,6/24/2017,6/1/2017,6,2017,42,0,0,0,0,125000,2,1,1,4,819,1,9,3,75,0,4,5000,0,2017, Toyota , Mirai 
337,6/24/2017,6/1/2017,6,2017,42,0,0,0,0,75000,3,0,0,3,131,3,18,1,55,0,1,13543,0,2016, Toyota , Mirai 
340,6/24/2017,6/1/2017,6,2017,42,0,0,0,0,225000,3,1,1,2,256,0,35,3,45,0,4,19500,0,2016, Toyota , Mirai 
342,6/24/2017,6/1/2017,6,2017,42,1,1,0,0,225000,3,1,1,4,942,2,2,5,65,0,3,11460,0,2016, Hyundai , Tucson 
343,6/25/2017,6/1/2017,6,2017,42,0,0,0,0,275000,3,1,1,4,221,0,15,3,35,0,2,14400,0,2017, Toyota , Mirai 
347,6/25/2017,6/1/2017,6,2017,42,0,0,0,0,475000,3,1,1,3,273,0,40,3,55,0,2,15600,0,2015, Hyundai , Tucson 
351,6/26/2017,6/1/2017,6,2017,42,0,0,1,0,175000,3,1,1,4,709,12,15,5,45,1,4,13080,0,2016, Toyota , Mirai 
352,6/26/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,1,4,122,2,8,4,35,1,2,11658,0,2017, Toyota , Mirai 
353,6/27/2017,6/1/2017,6,2017,42,1,0,0,0,275000,2,1,1,4,110,4,14,1,45,0,1,15303,0,2016, Toyota , Mirai 
354,6/27/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,0,1,4,400,6,15,2,75,0,2,18171,0,2017, Toyota , Mirai 
