Station Name,City,State,ZIP,Latitude,Longitude,year
Newton Nissan South,Shelbyville,TN,37160,35.558371,-86.448276,2011
McGavock Nissan - Abilene,Abilene,TX,79606,32.408909,-99.771463,2011
McGavock Nissan - Amarillo,Amarillo,TX,79119,35.159354,-101.938937,2011
Don Davis Nissan,Arlington,TX,76018,32.676458,-97.087169,2011
Town North Nissan,Austin,TX,78758,30.374542,-97.731445,2011
Baytown Nissan,Baytown,TX,77521,29.80725299717069,-94.97383364868772,2011
Mike Smith Nissan,Beaumont,TX,77701,30.062535,-94.133511,2011
Grubbs Nissan,Bedford,TX,76022,32.839339,-97.160994,2011
Douglass Nissan,College Station,TX,77845,30.639201,-96.30671,2011
Ed Hicks Nissan,Corpus Christi,TX,78415,27.73082,-97.416019,2011
Clay Cooley Nissan,Dallas,TX,75237,32.646784,-96.863492,2010
Classic Nissan,Denison,TX,75020,33.775328,-96.58308,2011
Casa Nissan,El Paso,TX,79925,31.783928,-106.417267,2011
Viva Nissan,El Paso,TX,79936,31.724024,-106.302211,2011
Nissan of Fort Worth,Fort Worth,TX,76116,32.721585,-97.478539,2011
Texas Nissan of Grapevine,Grapevine,TX,76051,32.928183,-97.09448,2011
Charlie Clark Nissan,Harlingen,TX,78552,26.186259,-97.734663,2011
Baker Nissan North,Houston,TX,77065,29.913418,-95.611942,2011
Central Houston Nissan,Houston,TX,77054,29.676558,-95.422537,2011
McDavid Nissan,Houston,TX,77034,29.625565,-95.22531,2011
Mossy Nissan,Houston,TX,77079,29.785494,-95.60022,2011
Tom Peacock Nissan,Houston,TX,77090,29.990205,-95.423096,2011
Robbins Nissan,Humble,TX,77338,29.990275,-95.275606,2011
Clay Cooley Nissan,Irving,TX,75062,32.849437,-96.914294,2011
Katy Nissan,Katy,TX,77494,29.775354,-95.817237,2011
Bates Nissan,Killeen,TX,76543,31.078549,-97.692745,2011
Sames Kingsville Nissan,Kingsville,TX,78363,27.492086,-97.84753,2011
Family Nissan of Laredo,Laredo,TX,78041,27.528418,-99.458211,2011
Clear Lake Nissan,League City,TX,77573,29.484543,-95.10255,2011
AutoNation Nissan - Lewisville,Lewisville,TX,75067,33.022937,-96.988337,2011
Patterson Nissan - Longview,Longview,TX,75605,32.553772,-94.727241,2011
McGavock Nissan,Lubbock,TX,79424,33.535048,-101.958266,2011
Nissan of McKinney,McKinney,TX,75069,33.161606,-96.644662,2011
Trophy Nissan,Mesquite,TX,75150,32.829838,-96.629967,2011
Nissan of Midland,Midland,TX,79707,32.024113,-102.151567,2011
Twin City Nissan,Port Arthur,TX,77640,29.953433,-94.0071,2011
Courtesy Nissan,Richardson,TX,75080,32.97135,-96.719803,2011
Gillman Nissan,Rosenberg,TX,77471,29.534537,-95.772812,2011
Round Rock Nissan,Round Rock,TX,78681,30.54205,-97.69265,2011
Jim Bass Nissan,San Angelo,TX,76901,31.44646,-100.496244,2011
Ancira Nissan,San Antonio,TX,78230,29.543147,-98.57544,2011
Gunn Nissan,San Antonio,TX,78209,29.517253,-98.467365,2011
Ingram Park Nissan,San Antonio,TX,78238,29.457047,-98.625324,2011
World Car Nissan,San Antonio,TX,78233,29.556508,-98.34469,2011
Nissan of San Marcos,San Marcos,TX,78666,30.4963137,-97.6809454,2011
Nissan of Silsbee,Silsbee,TX,77656,30.314894,-94.18396,2011
Sterling McCall Nissan,Stafford,TX,77477,29.645808,-95.57612,2011
Garlyn Shelton Nissan,Temple,TX,76502,31.079653,-97.410328,2011
Peltier Nissan,Tyler,TX,75701,32.31165413012184,-95.34249985662234,2011
Victory Nissan,Victoria,TX,77904,28.851423,-96.997881,2011
Douglas Nissan,Waco,TX,76712,31.495348,-97.160226,2011
Southwest Nissan,Weatherford,TX,76087,32.7561,-97.705239,2011
Nissan of Wichita Falls,Wichita Falls,TX,76309,33.88049,-98.545953,2011
Passport Nissan - Alexandria,Alexandria,VA,22304,38.809675,-77.122192,2011
Priority Nissan - Chantilly,Chantilly,VA,20151,38.899751,-77.460168,2011
Colonial Nissan,Charlottesville,VA,22901,38.086121,-78.474663,2011
Brown's Fairfax Nissan,Fairfax,VA,22030,38.85358,-77.324803,2011
Pomoco Nissan - Hampton,Hampton,VA,23666,37.042363,-76.388316,2011
Sheehy Nissan - Manassas,Manassas,VA,20110,38.760854,-77.459274,2011
Shell - YESS! Convenience 4U,Petersburg,VA,23805,37.175139,-77.352948,2011
SCIENCE MUSEUM SCIENCE MUSEUM1,Richmond,VA,23220,37.561646,-77.465974,2011
First Team Nissan,Roanoke,VA,24019,37.345779,-79.962578,2011
Brown's Dulles Nissan,Sterling,VA,20166,39.010459,-77.438399,2011
Priority Nissan,Vienna,VA,22182,38.927033,-77.240836,2011
Tri-State Nissan,Winchester,VA,22602,39.156514,-78.147297,2011
Bellingham Nissan,Bellingham,WA,98229,48.755607,-122.454132,2011
Advantage Nissan,Bremerton,WA,98312,47.562162,-122.684286,2011
Burien Nissan,Burien,WA,98148,47.458466,-122.333257,2011
Campbell-Nelson Nissan,Edmonds,WA,98026,47.778229,-122.344838,2011
Olympia Nissan,Olympia,WA,98502,47.031067,-122.930247,2011
Bill Robertson Nissan,Pasco,WA,99301,46.236607,-119.128998,2011
Dan Wilder Nissan,Port Angeles,WA,98362,48.102863,-123.342273,2011
Bill Korum's Puyallup Nissan,Puyallup,WA,98371,47.207367,-122.294997,2011
Younker Nissan,Renton,WA,98058,47.448354,-122.2188,2011
Wendle Nissan,Spokane,WA,99218,47.739021,-117.409937,2011
Dave Smith Nissan - Spokane,Spokane Valley,WA,99212,47.657264,-117.312518,2011
Tacoma Nissan,Tacoma,WA,98409,47.21978,-122.48576,2011
Alan Webb Nissan,Vancouver,WA,98662,45.648094,-122.597954,2011
O'Brien Nissan,Walla Walla,WA,99362,46.047464,-118.353406,2011
Mountain View Nissan,Chattanooga,TN,37408,35.030251,-85.308376,2011
Harold Mathews Nissan,Clarksville,TN,37043,36.513006,-87.268667,2011
Cookeville Nissan,Cookeville,TN,38501,36.137109,-85.496453,2011
Victory Nissan West,Dickson,TN,37055,36.023934,-87.340223,2011
Rick Hill Nissan,Dyersburg,TN,38024,36.063277,-89.379485,2011
Nissan of Cool Springs,Franklin,TN,37067,35.957857,-86.80853,2011
Newton Nissan of Gallatin,Gallatin,TN,37066,36.361376,-86.494932,2011
Tri-Cities Nissan,Johnson City,TN,37601,36.374198,-82.372119,2011
Wallace Nissan Oldsmobile,Kingsport,TN,37660,36.551978,-82.487762,2011
Ted Russell Nissan,Knoxville,TN,37919,35.920587,-84.067881,2011
Rusty Wallace Nissan,Knoxville,TN,37912,35.999617,-83.969451,2011
Nissan of Rivergate,Madison,TN,37115,36.29062,-86.7051,2019
Roberts Nissan,Manchester,TN,37355,35.454702,-86.041805,2019
Weakley County Motors,Martin,TN,38237,36.369277,-88.849653,2011
AutoNation Nissan - Memphis,Memphis,TN,38125,35.0353,-89.795859,2011
Jim Keras Nissan,Memphis,TN,38128,35.181031,-89.895533,2019
East Tennessee Nissan,Morristown,TN,37814,36.18226,-83.382387,2011
Nissan of Murfreesboro,Murfreesboro,TN,37129,35.854156,-86.394979,2011
Action Nissan,Nashville,TN,37211,36.110606,-86.743585,2011
Downtown Nashville Nissan,Nashville,TN,37228,36.191053,-86.793132,2011
Carr Nissan,Beaverton,OR,97005,45.491783,-122.81107,2011
Lithia Nissan of Bend,Bend,OR,97701,44.055213,-121.277279,2011
Kiefer Nissan,Corvallis,OR,97330,44.572608,-123.258425,2011
Lithia Nissan of Eugene,Eugene,OR,97401,44.05902085037804,-123.08139746322934,2011
Dick Hannah Nissan,Gladstone,OR,97027,45.378967,-122.603899,2011
Chuck Colvin Nissan,McMinnville,OR,97128,45.227394,-123.180863,2011
Lithia Nissan,Medford,OR,97504,42.379969,-122.858192,2011
Rustom Nissan - Portland,Portland,OR,97230,45.531759,-122.537403,2011
Nissan of Salem,Salem,OR,97302,44.921582,-123.006236,2011
Ray Schultens Nissan,The Dalles,OR,97058,45.613979,-121.20996,2011
Tonkin Nissan,Wilsonville,OR,97070,45.326814,-122.770853,2011
Dick Smith Nissan,Columbia,SC,29210,34.055164,-81.128164,2011
Dick Smith Nissan,Lexington,SC,29072,33.997902,-81.222504,2011
Twin City Nissan,Alcoa,TN,37701,35.830725,-83.974822,2011
Wolfchase Nissan,Bartlett,TN,38133,35.205818,-89.791337,2011
Dutch Miller Nissan,Bristol,TN,37620,36.54282,-82.2354,2011
Nissan of Chattanooga East,Chattanooga,TN,37421,35.056433,-85.190515,2017
Benton Nissan - Hoover,Birmingham,AL,35216,33.394903,-86.807186,2011
Matt Bowers Nissan Eastern Shore,Daphne,AL,36526,30.660697,-87.858464,2011
Lynn Layton Nissan,Decatur,AL,35601,34.563857,-86.972193,2011
Jack Ingram Motors,Montgomery,AL,36117,32.376832,-86.208559,2011
Avondale Nissan,Avondale,AZ,85323,33.459826,-112.284168,2011
AutoNation Nissan - Chandler,Chandler,AZ,85286,33.286316,-111.791107,2011
Anderson Nissan,Lake Havasu City,AZ,86404,34.54217,-114.35287,2011
East Valley Nissan,Mesa,AZ,85206,33.385361,-111.695062,2011
Larry H Miller Nissan - Mesa,Mesa,AZ,85201,33.434313,-111.872266,2011
Peoria Nissan,Peoria,AZ,85382,33.636921,-112.253682,2011
ABC Nissan,Phoenix,AZ,85014,33.509862,-112.054162,2011
Coulter Nissan,Surprise,AZ,85388,33.605183,-112.420442,2011
Midway Nissan,Phoenix,AZ,85023,33.639038,-112.108088,2011
Pinnacle Nissan,Scottsdale,AZ,85260,33.635224,-111.915739,2011
AutoNation Nissan - Tempe,Tempe,AZ,85284,33.346812,-111.967793,2011
Jim Click Nissan,Tucson,AZ,85705,32.289823,-110.985646,2011
Thoroughbred Nissan,Tucson,AZ,85711,32.207374,-110.881798,2011
Antioch Nissan,Antioch,CA,94509,38.007799,-121.832042,2011
Nissan of Bakersfield,Bakersfield,CA,93313,35.310723,-119.035324,2011
Buena Park Nissan,Buena Park,CA,90621,33.865497,-117.995215,2011
Carson Nissan,Carson,CA,90745,33.824968,-118.245675,2011
Palm Springs Nissan,Cathedral City,CA,92234,33.78414,-116.471,2011
Cerritos Nissan,Cerritos,CA,90703,33.861544,-118.100471,2011
Chico Nissan,Chico,CA,95926,39.756332,-121.843715,2011
Puente Hills Nissan,City of Industry,CA,91748,33.997621,-117.928216,2011
Lithia Nissan - Clovis,Clovis,CA,93612,36.836818,-119.717629,2011
Nissan of Serramonte,Colma,CA,94014,37.671267,-122.463541,2011
Autocom Nissan - Concord,Concord,CA,94520,37.980192,-122.050128,2011
Larry H Miller Nissan,Corona,CA,92882,33.88309,-117.615292,2011
Orange Coast Nissan,Costa Mesa,CA,92626,33.675397,-117.918684,2011
Hanlees Nissan,Davis,CA,95618,38.55252,-121.691555,2011
Downey Nissan,Downey,CA,90241,33.9473,-118.151166,2011
Nissan of Duarte,Duarte,CA,91010,34.136553,-117.975944,2011
Mossy Nissan - El Cajon,El Cajon,CA,92020,32.795896,-116.976156,2011
Ross Nissan El Monte,El Monte,CA,91731,34.069536,-118.026911,2011
Nissan of Elk Grove,Elk Grove,CA,95757,38.402217,-121.385527,2011
Mossy Nissan - Escondido,Escondido,CA,92029,33.116492,-117.106837,2011
McCrea Nissan,Eureka,CA,95501,40.800562,-124.164405,2011
Future Nissan of Folsom,Folsom,CA,95630,38.634132,-121.204871,2011
Fontana Nissan,Fontana,CA,92336,34.135345,-117.445732,2011
Premier Nissan of Fremont,Fremont,CA,94538,37.489389,-121.9576,2011
Lithia Nissan - Fresno,Fresno,CA,93710,36.818622,-119.789796,2011
Garden Grove Nissan,Garden Grove,CA,92844,33.766376,-117.968337,2011
Gardena Nissan,Gardena,CA,90247,33.889201,-118.307028,2011
South County Nissan,Gilroy,CA,95020,36.996869,-121.558573,2011
Glendale Nissan,Glendale,CA,91204,34.137054,-118.25536,2011
Santa Barbara Nissan,Goleta,CA,93117,34.43427,-119.820934,2011
Hayward Nissan,Hayward,CA,94544,37.662305,-122.075178,2011
Pedder Nissan,Hemet,CA,92545,33.741163,-117.031718,2011
Surf City Nissan,Huntington Beach,CA,92647,33.71069,-117.989861,2011
Nissan of Irvine,Irvine,CA,92618,33.632505,-117.723298,2011
Torre Nissan,La Quinta,CA,92253,33.70711,-116.283712,2011
Nissan of Downtown Los Angeles,Los Angeles,CA,90015,34.035168,-118.273229,2011
Universal City Nissan,Los Angeles,CA,90068,34.133446,-118.356601,2011
Razzari Nissan,Merced,CA,95340,37.305891,-120.502428,2011
Nissan of Mission Hills,Mission Hills,CA,91345,34.269809,-118.466606,2011
Central Valley Nissan,Modesto,CA,95356,37.705119,-120.99471,2011
Metro Nissan of Montclair,Montclair,CA,91763,34.082404,-117.694876,2019
Metro Nissan of Redlands,Redlands,CA,92374,34.065387,-117.212007,2011
Napa Nissan,Napa,CA,94559,38.292706,-122.277767,2011
Mossy Nissan,National City,CA,91950,32.659001,-117.100836,2011
Mossy Nissan - Oceanside,Oceanside,CA,92056,33.181953,-117.298334,2011
Stadium Nissan,Orange,CA,92867,33.80857,-117.864434,2011
Team Nissan,Oxnard,CA,93036,34.22771,-119.150217,2011
Antelope Valley Nissan,Palmdale,CA,93551,34.591173,-118.138184,2011
North Bay Nissan,Petaluma,CA,94952,38.267202,-122.665068,2011
Mossy Nissan - Poway,Poway,CA,92064,32.956772,-117.025943,2011
Crown Nissan,Redding,CA,96002,40.571632,-122.36654,2011
Boardwalk Nissan,Redwood City,CA,94063,37.495963,-122.227322,2011
Hanlees Hilltop Nissan,Richmond,CA,94806,37.985253,-122.32124,2011
Raceway Nissan,Riverside,CA,92507,33.941878,-117.297603,2011
Riverside Nissan,Riverside,CA,92504,33.925469,-117.419673,2011
Future Nissan of Roseville,Roseville,CA,95661,38.752198,-121.256452,2011
Nissan of Sacramento,Sacramento,CA,95821,38.631393,-121.396604,2016
