Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate,Target,Model Year,Manufacturer,Model
1,0,0,0,175000.0,2,1,1,3,113.36,0,18.82,4,45,0,2,7200,1.0,2015,3,5
0,0,0,0,75000.0,2,1,1,4,75.09,5,9.25,1,65,1,2,3327,1.0,2013,11,8
0,0,0,0,225000.0,2,1,1,3,141.99,0,31.63,4,45,0,3,17217,1.0,2013,9,6
0,0,1,0,275000.0,1,1,1,4,894.49,0,3.81,4,45,0,3,11205,1.0,2013,9,6
0,0,0,0,275000.0,2,1,1,4,255.56,20,10.25,3,65,0,4,21600,1.0,2014,11,8
0,0,0,0,75000.0,-2,1,1,3,85.19,0,16.69,3,45,0,3,8000,1.0,2014,10,16
0,0,0,0,75000.0,2,1,1,3,665.42,5,3.65,2,65,0,2,7815,1.0,2014,11,8
0,0,0,0,425000.0,-2,1,1,4,696.55,2,5.51,3,55,0,4,13285,1.0,2012,11,8
0,0,0,0,225000.0,2,1,1,3,123.05,0,22.56,2,55,0,3,15000,1.0,2013,3,5
0,0,0,0,375000.0,2,1,1,4,377.06,0,34.05,4,45,0,2,16800,1.0,2014,11,8
0,0,0,0,125000.0,2,1,1,4,716.06,0,21.89,2,65,0,3,4173,1.0,2013,2,0
0,0,0,0,75000.0,1,1,1,3,382.68,0,25.69,3,45,1,2,12000,1.0,2014,1,13
0,1,0,0,175000.0,0,1,1,2,255.83,0,15.0,2,65,0,3,13800,1.0,2013,12,10
0,0,0,0,225000.0,-2,1,1,2,957.22,0,19.75,2,55,0,4,9329,1.0,2013,2,0
0,0,0,0,175000.0,2,1,1,2,485.18,1,16.37,3,45,0,2,7655,1.0,2012,9,6
0,0,0,0,75000.0,2,1,0,3,463.16,0,7.17,1,55,1,2,8587,1.0,2013,2,0
0,0,0,0,125000.0,2,1,1,4,41.24,0,10.43,2,65,0,4,9085,1.0,2014,3,5
0,0,1,0,275000.0,2,1,1,3,971.13,0,46.84,2,45,0,4,26733,1.0,2014,1,13
0,0,0,0,225000.0,2,1,1,4,110.24,0,10.66,4,35,0,2,11478,1.0,2013,9,6
1,0,0,0,125000.0,2,1,1,3,366.21,0,5.8,3,45,0,2,8800,1.0,2012,9,6
0,0,0,0,125000.0,2,1,1,4,668.52,0,35.21,4,45,0,2,18000,1.0,2014,3,5
0,0,0,0,175000.0,0,1,1,4,388.59,0,9.28,4,45,1,2,12534,1.0,2012,8,17
0,1,1,0,175000.0,1,1,1,3,385.39,0,19.4,4,45,0,3,1121,1.0,2013,2,0
0,0,0,0,125000.0,2,1,1,3,219.88,1,16.39,4,35,1,3,9000,1.0,2014,2,0
0,0,0,0,275000.0,0,1,1,4,149.69,1,13.03,2,65,0,2,10909,1.0,2013,11,8
0,0,0,0,75000.0,2,1,1,4,163.31,0,7.01,4,35,0,2,11106,1.0,2015,2,0
0,0,0,0,225000.0,2,1,1,4,320.92,0,6.73,2,65,1,2,10500,1.0,2014,9,6
0,0,0,0,50000.0,2,1,1,3,410.74,0,2.41,1,65,1,2,3096,1.0,2012,9,6
0,0,1,0,175000.0,2,1,1,3,819.4,2,83.97,3,65,0,2,19500,1.0,2013,11,8
0,0,0,0,175000.0,2,1,1,3,493.18,0,13.17,3,45,1,2,9500,1.0,2012,8,17
0,0,0,0,325000.0,2,1,1,4,469.61,0,52.18,4,45,0,3,24000,1.0,2014,12,10
0,1,0,0,225000.0,0,1,1,2,144.88,0,2.83,5,55,0,3,6960,1.0,2013,9,6
0,0,1,0,275000.0,2,0,1,3,424.37,1,13.31,4,45,0,2,10909,1.0,2014,12,10
